equipo,puntos
Brazil,244
Germany,221
Argentina,154
Italy,152
France,127
England,115
Spain,107
Netherlands,103
Uruguay,88
Belgium,72
Sweden,69
Mexico,64
Poland,57
Portugal,56
Yugoslavia,55
Soviet Union,51
Switzerland,49
Hungary,48
Croatia,47
Chile,40
Austria,40
Czechoslovakia,38
USA,35
Denmark,33
Paraguay,31
Colombia,30
South Korea,30
Japan,27
Romania,27
Costa Rica,23
Cameroon,23
Morocco,22
Nigeria,21
Scotland,19
Peru,18
Senegal,18
Ghana,18
Ecuador,17
Bulgaria,16
Australia,16
Russia,16
Turkey,16
Tunisia,14
N. Ireland,14
Saudi Arabia,14
Iran,13
Ireland,12
Algeria,12
Ivory Coast,10
South Africa,10
Norway,9
Germany DR,8
Greece,8
Wales,7
Serbia,7
Ukraine,6
North Korea,4
Slovenia,4
Cuba,4
Slovakia,4
Honduras,3
Czech Republic,3
Jamaica,3
New Zealand,3
Bosnia Herzegovina,3
Egypt,2
Israel,2
Angola,2
Iceland,1
Kuwait,1
Bolivia,1
Trin & Tobago,1
China,0
Canada,0
El Salvador,0
Haiti,0
Iraq,0
Dutch East Indies,0
DR Congo,0
Panama,0
Serbia & Montenegro,0
Qatar,0
Togo,0
UAE,0
